[0.0, 0.2992],[0.0, 0.2035],[0.0243, 0.0826],[0.0567, 0.0],[0.0428, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0244],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0669],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.3079],[0.0, 0.2035],[0.0248, 0.0881],[0.0618, 0.0],[0.049, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0024],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0299],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0716],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.2958],[0.0, 0.1951],[0.0258, 0.0846],[0.0618, 0.0],[0.0407, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0097],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0369],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0782],[0.0, 0.0007],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.2995],[0.0, 0.1948],[0.0176, 0.084],[0.0515, 0.0],[0.0371, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0114],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0389],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0811],[0.0, 0.0033],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.3024],[0.0, 0.1948],[0.0176, 0.086],[0.0505, 0.0],[0.031, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0143],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0424],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0843],[0.0, 0.0073],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.3163],[0.0, 0.2084],[0.0125, 0.0936],[0.0505, 0.0],[0.033, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0183],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0467],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0898],[0.0, 0.0126],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.3267],[0.0, 0.2127],[0.0083, 0.0927],[0.0433, 0.0],[0.0279, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0154],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0467],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0097],[0.0, 0.093],[0.0, 0.0209],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.3206],[0.0, 0.2087],[0.0011, 0.0785],[0.0269, 0.0],[0.0191, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0183],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0554],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0235],[0.0, 0.1069],[0.0, 0.04],[0.0, 0.0],[0.0, 0.0]
[0.0, 0.3458],[0.0, 0.2177],[0.0, 0.075],[0.0006, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0207],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0172],[0.0, 0.0684],[0.0, 0.0],[0.0, 0.001],[0.0, 0.047],[0.0, 0.1291],[0.0, 0.0678],[0.0, 0.0311],[0.0, 0.0]
[0.0, 0.3499],[0.0, 0.2133],[0.0, 0.0603],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0001],[0.0, 0.0351],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0531],[0.0, 0.0863],[0.0, 0.0],[0.0, 0.034],[0.0, 0.0837],[0.0, 0.1485],[0.0, 0.0927],[0.0, 0.0629],[0.0, 0.0273]
[0.0, 0.3412],[0.0, 0.2015],[0.0, 0.0447],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0],[0.0, 0.0065],[0.0, 0.04],[0.0, 0.0],[0.0, 0.0166],[0.0, 0.0727],[0.0, 0.0976],[0.0, 0.0076],[0.0, 0.062],[0.0, 0.1126],[0.0, 0.1665],[0.0, 0.1228],[0.0, 0.0991],[0.0, 0.0704]
